Age Range,Gender,Location,Language,Interest,Device Type,Online Purchase Behavior,Ad Engagement (Clicks/Views),Time Spent on Platform (mins),Page Likes,Ad Impressions,Recent Ad Interaction,Ad Placement,Ad Format,Lookalike Score
55+,Female,California,Spanish,Technology,Desktop,Occasional,3,79.9,12,26,Viewed,Messenger,Image,0.58
45-54,Female,Texas,Chinese,Technology,Desktop,Occasional,29,5.8,8,13,Viewed,Stories,Carousel,0.72
18-24,Male,Florida,Chinese,Gaming,Mobile,Occasional,33,31,12,4,Ignored,Feed,Image,0.82
55+,Male,New York,Hindi,Food,Tablet,Occasional,45,54.8,12,42,Ignored,Stories,Video,0.72
25-34,Female,Texas,French,Gaming,Tablet,Occasional,73,30.9,12,21,Viewed,Feed,Image,0.24
25-34,Male,New York,Chinese,Gaming,Desktop,Occasional,45,3.2,11,20,Ignored,Messenger,Carousel,0.16
35-44,Female,Florida,French,Fitness,Mobile,Occasional,94,15.2,7,33,Viewed,Messenger,Video,0.41
25-34,Male,Illinois,Spanish,Gaming,Tablet,Occasional,71,67.3,10,5,Ignored,Stories,Video,0.84
55+,Non-binary,New York,English,Technology,Mobile,Occasional,56,31.2,6,46,Ignored,Messenger,Video,0.19
18-24,Female,Illinois,French,Gaming,Tablet,Frequent,85,37.2,12,47,Clicked,Messenger,Image,0.11
35-44,Non-binary,New York,English,Gaming,Mobile,Frequent,86,9.6,12,14,Viewed,Stories,Carousel,0.92
45-54,Female,California,Hindi,Technology,Mobile,Frequent,86,2.5,8,40,Clicked,Feed,Image,0.78
25-34,Non-binary,Texas,Chinese,Gaming,Desktop,Occasional,39,17.9,8,21,Viewed,Messenger,Video,0.89
18-24,Male,Florida,Chinese,Gaming,Desktop,Occasional,71,16.8,10,37,Ignored,Feed,Image,0.08
55+,Male,Texas,French,Technology,Desktop,Occasional,34,89.4,11,17,Clicked,Feed,Image,0.29
45-54,Female,California,French,Fitness,Mobile,Occasional,47,41.7,10,1,Clicked,Stories,Carousel,0.91
45-54,Male,California,Chinese,Fitness,Mobile,Frequent,28,58.4,5,10,Viewed,Stories,Carousel,0.73
55+,Non-binary,Texas,Hindi,Food,Desktop,Frequent,18,1.2,5,30,Viewed,Feed,Video,0.97
25-34,Non-binary,Florida,Spanish,Travel,Desktop,Frequent,3,7.2,12,27,Clicked,Messenger,Carousel,0.21
25-34,Non-binary,New York,Chinese,Gaming,Desktop,Occasional,25,1.6,8,20,Clicked,Stories,Carousel,0.84
35-44,Non-binary,Texas,French,Food,Mobile,Occasional,24,65,10,41,Ignored,Stories,Carousel,0.66
25-34,Male,Texas,Spanish,Gaming,Tablet,Frequent,52,66.5,11,37,Ignored,Feed,Image,0.44
55+,Male,California,Spanish,Technology,Mobile,Rare,40,12.1,4,46,Ignored,Stories,Carousel,0.65
45-54,Female,Illinois,Spanish,Travel,Desktop,Occasional,84,34.8,12,36,Clicked,Messenger,Carousel,0.46
35-44,Male,Texas,Spanish,Food,Tablet,Occasional,21,20.3,14,36,Viewed,Feed,Image,0.95
35-44,Female,California,Spanish,Technology,Mobile,Rare,90,19.7,15,34,Viewed,Stories,Image,0.17
18-24,Female,California,Hindi,Technology,Desktop,Rare,52,5.7,9,15,Viewed,Stories,Image,0.97
25-34,Female,California,Spanish,Fitness,Desktop,Rare,52,30.4,13,24,Viewed,Feed,Carousel,0.88
55+,Male,Texas,Hindi,Food,Tablet,Frequent,96,19.6,9,31,Viewed,Feed,Carousel,0.44
45-54,Male,Texas,Chinese,Technology,Desktop,Occasional,52,4.2,4,42,Viewed,Feed,Video,0.72
18-24,Female,Florida,Chinese,Travel,Desktop,Rare,86,22.4,9,24,Viewed,Stories,Carousel,0.65
25-34,Male,Texas,Spanish,Travel,Mobile,Occasional,88,22.6,12,18,Clicked,Feed,Carousel,0.84
45-54,Female,Illinois,English,Food,Desktop,Rare,42,6.4,11,14,Ignored,Stories,Carousel,0.64
25-34,Female,New York,Spanish,Travel,Mobile,Occasional,0,18.6,9,26,Ignored,Feed,Carousel,0.98
25-34,Male,Florida,Chinese,Travel,Mobile,Frequent,67,116.9,11,10,Viewed,Messenger,Image,0.54
18-24,Female,Texas,English,Gaming,Mobile,Occasional,78,1.7,6,34,Viewed,Stories,Image,0.91
35-44,Male,California,Hindi,Food,Mobile,Frequent,23,7.7,13,30,Ignored,Feed,Carousel,0.47
35-44,Non-binary,Texas,Chinese,Technology,Mobile,Frequent,90,5.5,11,11,Ignored,Feed,Carousel,0.39
18-24,Female,Illinois,French,Technology,Tablet,Frequent,82,9.4,9,10,Viewed,Stories,Video,0.56
35-44,Female,New York,Hindi,Travel,Mobile,Frequent,7,8.5,11,28,Clicked,Messenger,Carousel,0.11
35-44,Female,New York,Chinese,Food,Desktop,Occasional,61,28,6,2,Clicked,Stories,Video,0.5
35-44,Female,Illinois,English,Food,Mobile,Occasional,87,88.5,13,46,Viewed,Feed,Image,0.26
35-44,Non-binary,New York,Spanish,Fitness,Mobile,Occasional,25,32.7,7,26,Clicked,Stories,Carousel,0.46
45-54,Male,Illinois,Hindi,Fitness,Tablet,Frequent,16,29.6,8,49,Ignored,Messenger,Video,0.54
55+,Female,Texas,Chinese,Food,Mobile,Occasional,21,6,11,31,Viewed,Feed,Carousel,0.99
25-34,Male,Illinois,Spanish,Technology,Tablet,Frequent,26,25.4,13,34,Ignored,Messenger,Video,0.38
35-44,Non-binary,Illinois,Chinese,Technology,Tablet,Rare,79,72.6,14,31,Ignored,Stories,Carousel,0.55
25-34,Male,Texas,Chinese,Technology,Mobile,Frequent,56,43.6,12,17,Clicked,Messenger,Carousel,0.24
35-44,Male,Texas,English,Food,Desktop,Frequent,61,20.2,5,37,Ignored,Feed,Image,0.38
18-24,Male,New York,Spanish,Technology,Mobile,Occasional,67,29.4,10,34,Viewed,Messenger,Image,0.25
18-24,Female,California,French,Food,Desktop,Frequent,2,21.8,10,5,Viewed,Stories,Video,0.54
55+,Non-binary,Florida,Spanish,Technology,Desktop,Frequent,30,22.3,15,28,Viewed,Messenger,Video,0.22
35-44,Non-binary,Texas,Hindi,Gaming,Desktop,Occasional,99,69.3,6,30,Clicked,Feed,Carousel,0.52
35-44,Male,Texas,English,Travel,Desktop,Frequent,7,7.8,13,23,Clicked,Messenger,Image,0.81
55+,Non-binary,Illinois,Hindi,Food,Desktop,Frequent,22,14.5,7,6,Viewed,Feed,Image,0.19
18-24,Male,Texas,French,Technology,Desktop,Frequent,42,2.3,14,38,Viewed,Messenger,Image,0.94
45-54,Female,Florida,Chinese,Technology,Tablet,Occasional,48,0.3,11,44,Clicked,Stories,Video,0.06
18-24,Male,Florida,Hindi,Gaming,Mobile,Rare,80,45,6,38,Ignored,Messenger,Image,0.71
25-34,Non-binary,New York,Spanish,Travel,Mobile,Rare,47,20.2,10,14,Ignored,Stories,Image,0.24
35-44,Male,Texas,Chinese,Fitness,Desktop,Frequent,93,35.6,4,11,Viewed,Feed,Video,0.42
55+,Female,California,English,Travel,Tablet,Occasional,6,42.1,7,30,Ignored,Stories,Carousel,0.17
55+,Male,Illinois,Spanish,Technology,Mobile,Occasional,56,20.3,12,43,Viewed,Messenger,Image,0.62
35-44,Male,Illinois,Spanish,Fitness,Mobile,Occasional,67,151,8,48,Clicked,Messenger,Carousel,0.43
25-34,Non-binary,Illinois,Hindi,Fitness,Tablet,Rare,7,26.3,4,1,Viewed,Messenger,Carousel,0.45
35-44,Non-binary,Illinois,Hindi,Gaming,Desktop,Occasional,5,20.3,7,16,Viewed,Feed,Carousel,0.97
35-44,Non-binary,Texas,French,Technology,Mobile,Rare,29,10.6,8,11,Ignored,Stories,Video,0.45
35-44,Female,Texas,Spanish,Food,Tablet,Occasional,63,39.3,10,5,Viewed,Feed,Video,0.32
18-24,Male,New York,French,Fitness,Desktop,Frequent,21,9.4,10,25,Clicked,Feed,Carousel,0.74
45-54,Non-binary,Texas,French,Food,Mobile,Frequent,0,39.7,7,13,Clicked,Stories,Image,0.63
55+,Non-binary,New York,Spanish,Travel,Desktop,Frequent,85,91.9,13,40,Clicked,Messenger,Carousel,0.82
18-24,Female,New York,Spanish,Travel,Tablet,Frequent,16,17.2,8,21,Ignored,Feed,Video,0.48
35-44,Female,Florida,Hindi,Food,Desktop,Rare,99,68,12,10,Ignored,Stories,Image,0.33
35-44,Non-binary,Illinois,French,Technology,Mobile,Frequent,85,17.4,5,27,Ignored,Feed,Image,0.17
45-54,Female,Texas,Chinese,Travel,Mobile,Rare,83,160.5,10,1,Ignored,Feed,Image,0.06
18-24,Female,Illinois,Spanish,Fitness,Mobile,Frequent,42,14.9,9,21,Viewed,Messenger,Image,0.86
25-34,Non-binary,New York,Chinese,Food,Mobile,Frequent,80,26.3,6,11,Ignored,Messenger,Carousel,0.47
25-34,Female,Texas,English,Technology,Tablet,Occasional,60,41,13,43,Ignored,Feed,Video,0.92
25-34,Non-binary,Illinois,Chinese,Fitness,Tablet,Occasional,20,21,12,47,Clicked,Stories,Image,0.03
18-24,Female,Illinois,English,Food,Desktop,Occasional,67,14.7,6,45,Ignored,Messenger,Video,0.97
18-24,Female,New York,French,Fitness,Tablet,Occasional,44,13.1,8,37,Viewed,Feed,Image,0.55
35-44,Male,Texas,English,Fitness,Tablet,Rare,25,10.5,8,27,Viewed,Stories,Image,0.84
35-44,Female,New York,Spanish,Food,Mobile,Rare,13,73.2,8,44,Viewed,Stories,Video,0.93
25-34,Male,Illinois,Spanish,Fitness,Tablet,Occasional,85,4.9,11,6,Clicked,Messenger,Video,0.27
18-24,Male,Florida,English,Technology,Mobile,Frequent,66,11.3,11,34,Viewed,Stories,Image,0.08
18-24,Female,New York,Chinese,Fitness,Tablet,Rare,0,32.8,14,24,Ignored,Messenger,Carousel,0.4
35-44,Male,California,English,Food,Tablet,Frequent,70,10.9,6,22,Clicked,Feed,Image,0.17
55+,Non-binary,New York,English,Food,Desktop,Frequent,27,44.4,11,22,Ignored,Stories,Image,0.15
25-34,Female,Texas,English,Gaming,Mobile,Frequent,68,6.1,11,6,Viewed,Stories,Image,0.16
25-34,Non-binary,New York,Spanish,Gaming,Desktop,Frequent,30,29.4,7,1,Ignored,Feed,Carousel,0.34
55+,Female,Illinois,Chinese,Fitness,Tablet,Rare,90,12.5,10,39,Viewed,Feed,Video,0.01
18-24,Female,New York,Chinese,Food,Tablet,Frequent,51,0.7,7,37,Clicked,Stories,Carousel,0.87
25-34,Female,Texas,English,Gaming,Desktop,Occasional,39,6.5,13,21,Viewed,Stories,Video,0.1
18-24,Non-binary,Texas,French,Gaming,Desktop,Rare,24,16.7,12,31,Clicked,Feed,Image,0.66
25-34,Non-binary,Texas,Spanish,Technology,Mobile,Occasional,87,0.1,12,27,Viewed,Feed,Carousel,0.68
35-44,Non-binary,Illinois,Spanish,Food,Tablet,Occasional,2,44,11,8,Viewed,Feed,Carousel,0.96
45-54,Female,Florida,Hindi,Gaming,Desktop,Occasional,92,38.3,11,14,Viewed,Messenger,Carousel,0.31
55+,Non-binary,Illinois,French,Fitness,Tablet,Rare,13,27.2,15,16,Clicked,Messenger,Carousel,0.04
55+,Male,Illinois,Spanish,Food,Tablet,Occasional,98,63.4,4,19,Clicked,Feed,Video,0.75
55+,Male,Florida,Chinese,Fitness,Mobile,Rare,47,26.5,4,47,Viewed,Feed,Video,0.48
55+,Male,California,Hindi,Fitness,Tablet,Occasional,66,8,8,18,Clicked,Feed,Video,0.08
25-34,Female,Texas,Hindi,Travel,Mobile,Occasional,72,43.9,8,14,Viewed,Messenger,Carousel,0.69
45-54,Non-binary,Florida,English,Technology,Tablet,Occasional,65,24.3,7,17,Viewed,Messenger,Image,0.77
35-44,Male,California,French,Fitness,Desktop,Occasional,20,14.5,9,25,Viewed,Messenger,Image,0.57
45-54,Male,New York,French,Technology,Mobile,Occasional,65,23,5,47,Ignored,Stories,Carousel,0.62
25-34,Male,New York,Chinese,Fitness,Mobile,Rare,14,8.7,10,42,Clicked,Stories,Carousel,0.56
35-44,Non-binary,California,French,Fitness,Tablet,Occasional,14,56.7,11,25,Viewed,Stories,Image,0.72
45-54,Non-binary,California,Chinese,Technology,Mobile,Occasional,45,49.4,14,39,Clicked,Stories,Video,0.76
45-54,Female,Texas,French,Travel,Desktop,Occasional,9,120.3,17,28,Viewed,Stories,Carousel,0.44
45-54,Female,Texas,Spanish,Travel,Mobile,Frequent,65,62.7,13,17,Viewed,Messenger,Image,0.03
35-44,Non-binary,Texas,Chinese,Food,Mobile,Rare,61,50.3,11,47,Ignored,Feed,Carousel,0.52
45-54,Non-binary,New York,French,Travel,Mobile,Frequent,98,39.8,7,5,Viewed,Feed,Carousel,0.68
18-24,Male,Texas,Chinese,Technology,Mobile,Occasional,53,24.3,12,7,Viewed,Feed,Video,0.3
18-24,Non-binary,Florida,English,Technology,Tablet,Frequent,85,19.7,8,6,Ignored,Feed,Image,0.51
35-44,Male,Florida,French,Food,Tablet,Frequent,72,67.1,5,28,Viewed,Messenger,Image,0.14
45-54,Male,California,Chinese,Food,Tablet,Rare,25,9.5,7,34,Viewed,Feed,Video,0.71
25-34,Male,Florida,Spanish,Technology,Desktop,Frequent,46,23.5,14,36,Ignored,Stories,Carousel,0.08
45-54,Non-binary,Florida,Hindi,Travel,Desktop,Occasional,53,6.6,12,36,Ignored,Feed,Carousel,0.49
25-34,Female,Illinois,English,Fitness,Desktop,Occasional,38,23.4,9,49,Ignored,Messenger,Video,0.26
45-54,Female,California,French,Gaming,Desktop,Frequent,96,20.7,7,17,Clicked,Messenger,Video,0.8
18-24,Male,California,Spanish,Travel,Mobile,Occasional,34,5.2,15,20,Clicked,Feed,Carousel,0.23
18-24,Male,Florida,Chinese,Gaming,Tablet,Frequent,68,8.4,7,17,Viewed,Messenger,Carousel,0.62
18-24,Female,California,French,Food,Tablet,Frequent,51,52.8,14,19,Viewed,Stories,Video,0.03
25-34,Non-binary,Florida,French,Travel,Mobile,Frequent,81,16.8,6,33,Clicked,Stories,Carousel,0.83
45-54,Non-binary,New York,Chinese,Fitness,Tablet,Frequent,77,29.4,9,43,Viewed,Stories,Video,0.51
25-34,Male,Illinois,Hindi,Travel,Desktop,Frequent,8,52.6,10,19,Viewed,Stories,Carousel,0.63
35-44,Female,New York,French,Food,Desktop,Occasional,56,12.3,15,37,Ignored,Messenger,Video,0.05
45-54,Non-binary,Illinois,Hindi,Travel,Mobile,Occasional,18,72.9,11,42,Clicked,Stories,Image,0.3
55+,Female,California,English,Food,Desktop,Rare,46,12,9,39,Ignored,Messenger,Carousel,0.1
55+,Female,Florida,French,Fitness,Tablet,Occasional,24,6.8,8,5,Clicked,Messenger,Video,0.21
55+,Female,Texas,Chinese,Fitness,Tablet,Frequent,71,37.5,15,36,Ignored,Stories,Carousel,0.66
18-24,Female,New York,Hindi,Travel,Desktop,Rare,37,47.2,9,45,Viewed,Messenger,Image,0.17
35-44,Non-binary,California,French,Gaming,Mobile,Occasional,30,1.7,8,45,Ignored,Feed,Carousel,0.1
25-34,Non-binary,California,Hindi,Fitness,Desktop,Frequent,38,14.7,9,28,Viewed,Feed,Image,0.24
35-44,Male,Texas,Hindi,Gaming,Mobile,Frequent,88,27.7,5,6,Clicked,Messenger,Image,0.41
45-54,Male,New York,English,Technology,Tablet,Rare,65,37.7,11,26,Clicked,Messenger,Carousel,0.09
25-34,Non-binary,Texas,Chinese,Travel,Mobile,Occasional,33,7.7,12,31,Viewed,Feed,Image,0.67
55+,Non-binary,California,French,Fitness,Mobile,Frequent,87,18.9,12,21,Viewed,Stories,Carousel,0.09
35-44,Male,California,English,Gaming,Tablet,Occasional,38,29,10,28,Clicked,Messenger,Image,0.4
45-54,Male,California,English,Food,Mobile,Rare,29,80,14,3,Clicked,Messenger,Carousel,0.03
18-24,Non-binary,Texas,Chinese,Food,Desktop,Rare,95,4.1,7,14,Ignored,Feed,Image,0.11
55+,Male,Florida,English,Food,Mobile,Rare,45,3.1,4,47,Ignored,Messenger,Carousel,0.88
45-54,Male,Illinois,Spanish,Gaming,Desktop,Frequent,55,39,6,44,Viewed,Messenger,Video,0.29
25-34,Non-binary,Illinois,Chinese,Food,Desktop,Rare,79,22.8,15,14,Ignored,Feed,Video,0.75
35-44,Female,Illinois,English,Travel,Tablet,Frequent,25,14,9,25,Clicked,Stories,Video,0.53
25-34,Non-binary,California,Hindi,Technology,Mobile,Frequent,90,31.5,9,29,Ignored,Messenger,Image,0.11
25-34,Non-binary,California,Chinese,Food,Desktop,Frequent,82,7,7,32,Viewed,Feed,Image,0.55
25-34,Male,Illinois,French,Fitness,Desktop,Occasional,39,55.4,9,28,Viewed,Messenger,Carousel,0.78
25-34,Male,California,French,Travel,Tablet,Frequent,40,27.8,4,13,Ignored,Feed,Video,0.35
35-44,Male,Texas,Spanish,Food,Mobile,Occasional,93,24.7,15,29,Viewed,Stories,Carousel,0.32
25-34,Female,Florida,Chinese,Travel,Tablet,Occasional,96,94.6,8,8,Ignored,Feed,Video,0.05
25-34,Male,Illinois,Hindi,Food,Mobile,Rare,67,45.1,7,16,Clicked,Messenger,Carousel,0.78
18-24,Female,New York,Hindi,Gaming,Desktop,Occasional,35,50.9,9,42,Clicked,Feed,Image,0.93
25-34,Female,Florida,Chinese,Food,Desktop,Frequent,1,25.9,7,35,Viewed,Messenger,Carousel,0.89
45-54,Female,Texas,French,Technology,Mobile,Occasional,6,29.7,15,41,Viewed,Stories,Video,0.25
18-24,Non-binary,California,Spanish,Travel,Desktop,Occasional,14,14.9,10,43,Clicked,Stories,Carousel,0.85
25-34,Female,California,Chinese,Fitness,Tablet,Occasional,93,6.8,14,14,Ignored,Stories,Carousel,0.93
18-24,Female,New York,Spanish,Technology,Mobile,Occasional,89,8.9,14,46,Ignored,Messenger,Video,0.4
25-34,Female,Texas,Spanish,Travel,Mobile,Rare,83,46.8,6,21,Viewed,Messenger,Carousel,0.9
45-54,Non-binary,Texas,French,Fitness,Tablet,Frequent,85,12.6,12,8,Viewed,Feed,Carousel,0.91
25-34,Female,California,Chinese,Food,Mobile,Frequent,89,6.4,10,29,Clicked,Feed,Carousel,0.6
35-44,Male,Texas,Spanish,Technology,Desktop,Occasional,2,26,12,34,Ignored,Messenger,Video,0.4
55+,Non-binary,Texas,Spanish,Gaming,Tablet,Frequent,43,22.2,5,44,Ignored,Feed,Image,0.67
25-34,Male,Florida,Chinese,Gaming,Mobile,Frequent,10,40.2,8,33,Clicked,Feed,Carousel,0.9
55+,Non-binary,Florida,French,Travel,Tablet,Occasional,70,32.2,6,6,Ignored,Stories,Image,0.55
45-54,Male,Illinois,Spanish,Technology,Desktop,Occasional,37,16.6,11,49,Viewed,Messenger,Video,0.09
45-54,Non-binary,Florida,French,Gaming,Mobile,Frequent,66,1.8,11,16,Viewed,Feed,Carousel,0.08
25-34,Male,Florida,Chinese,Gaming,Desktop,Rare,14,11.4,11,23,Clicked,Stories,Carousel,0.39
18-24,Male,Florida,English,Fitness,Tablet,Occasional,36,25.7,13,34,Clicked,Stories,Carousel,0.7
55+,Female,Texas,Hindi,Fitness,Tablet,Occasional,2,41,11,4,Ignored,Stories,Video,0.91
35-44,Non-binary,New York,Chinese,Travel,Mobile,Occasional,17,26.5,10,4,Viewed,Feed,Carousel,0.45
55+,Female,Texas,Chinese,Technology,Mobile,Rare,64,6.2,9,13,Viewed,Stories,Video,0.41
35-44,Male,Texas,Spanish,Food,Desktop,Rare,36,45.6,6,33,Viewed,Stories,Image,0.81
55+,Non-binary,Illinois,Spanish,Travel,Tablet,Frequent,11,22.1,5,41,Ignored,Stories,Carousel,0.44
45-54,Male,California,French,Food,Desktop,Rare,0,12.5,10,31,Clicked,Messenger,Carousel,0.72
45-54,Female,Florida,Chinese,Travel,Mobile,Occasional,68,32.7,6,19,Viewed,Feed,Video,0.11
35-44,Male,Texas,English,Gaming,Tablet,Occasional,6,27.2,13,42,Ignored,Feed,Video,0.19
45-54,Non-binary,Illinois,Chinese,Fitness,Desktop,Occasional,4,20.7,8,33,Clicked,Stories,Video,0.66
45-54,Non-binary,Florida,French,Fitness,Tablet,Frequent,37,9.5,11,27,Clicked,Feed,Image,0.72
25-34,Male,Illinois,Spanish,Travel,Mobile,Occasional,30,11.6,15,18,Viewed,Messenger,Video,0.2
25-34,Non-binary,Texas,Spanish,Technology,Tablet,Frequent,17,35.4,7,37,Clicked,Messenger,Carousel,0.55
45-54,Female,New York,Chinese,Technology,Mobile,Occasional,16,7.2,11,7,Clicked,Stories,Image,0.56
55+,Female,New York,Chinese,Food,Mobile,Occasional,63,24.2,8,33,Viewed,Stories,Image,0.5
35-44,Female,Illinois,English,Travel,Tablet,Frequent,59,3.7,13,19,Ignored,Messenger,Carousel,0.54
25-34,Non-binary,Florida,Spanish,Technology,Desktop,Occasional,9,21.2,9,26,Viewed,Messenger,Carousel,0.58
45-54,Non-binary,Illinois,Hindi,Food,Mobile,Frequent,64,9,3,17,Ignored,Feed,Video,0.09
55+,Male,Texas,Chinese,Food,Desktop,Occasional,87,1.2,11,27,Viewed,Messenger,Video,0.71
25-34,Female,Florida,Chinese,Gaming,Mobile,Frequent,31,2,15,32,Ignored,Feed,Video,0.03
18-24,Female,Florida,French,Food,Tablet,Occasional,38,160.6,13,24,Ignored,Feed,Carousel,0.12
45-54,Male,New York,English,Food,Tablet,Frequent,54,3.7,9,29,Clicked,Messenger,Carousel,0.39
18-24,Male,Illinois,English,Fitness,Mobile,Occasional,88,22.1,10,42,Viewed,Stories,Video,0.83
18-24,Male,Florida,English,Technology,Desktop,Occasional,28,30.4,8,28,Ignored,Stories,Carousel,0.23
25-34,Male,Texas,Spanish,Gaming,Desktop,Occasional,48,22.3,8,25,Clicked,Messenger,Carousel,0.48
18-24,Male,California,Spanish,Gaming,Tablet,Frequent,69,38.5,9,15,Clicked,Messenger,Image,0.89
25-34,Female,Texas,French,Technology,Desktop,Frequent,97,3.1,9,14,Clicked,Stories,Image,0.5
55+,Male,Texas,Spanish,Gaming,Tablet,Frequent,68,8.6,8,22,Viewed,Feed,Image,0.82
25-34,Female,Illinois,French,Travel,Tablet,Frequent,55,51.9,11,7,Ignored,Stories,Image,0.24
18-24,Female,California,Chinese,Technology,Mobile,Frequent,63,137.8,12,19,Ignored,Feed,Video,0.23
45-54,Female,California,Spanish,Food,Mobile,Frequent,98,23.3,10,7,Ignored,Stories,Carousel,0.37
18-24,Female,New York,Hindi,Travel,Desktop,Rare,82,109.8,13,28,Clicked,Messenger,Carousel,0.54
18-24,Male,Illinois,French,Gaming,Desktop,Frequent,61,76.1,15,4,Ignored,Stories,Carousel,0.98
55+,Female,Texas,Chinese,Fitness,Mobile,Occasional,88,14.7,14,38,Ignored,Feed,Carousel,0.67
45-54,Male,New York,Spanish,Travel,Tablet,Frequent,4,3.1,7,30,Ignored,Messenger,Video,0.9
18-24,Non-binary,New York,English,Food,Desktop,Rare,6,10,9,49,Viewed,Messenger,Image,0.61
35-44,Female,Texas,French,Fitness,Tablet,Occasional,72,36.2,6,31,Clicked,Feed,Video,0.65
55+,Female,Texas,French,Fitness,Mobile,Rare,50,17.6,8,45,Ignored,Feed,Carousel,0.64
18-24,Male,Illinois,English,Gaming,Mobile,Frequent,83,56.4,7,8,Clicked,Messenger,Carousel,0.5
18-24,Female,Florida,Hindi,Fitness,Mobile,Frequent,45,14.2,11,5,Ignored,Feed,Video,0.64
35-44,Male,New York,French,Fitness,Tablet,Frequent,78,16.8,8,41,Clicked,Stories,Video,0.28
25-34,Female,Texas,Hindi,Technology,Desktop,Occasional,30,20.3,10,11,Ignored,Messenger,Image,0.16
25-34,Female,California,Spanish,Technology,Desktop,Frequent,61,9.1,10,32,Ignored,Messenger,Image,0.09
35-44,Female,Illinois,French,Gaming,Desktop,Rare,78,31.6,13,1,Viewed,Messenger,Carousel,0.79
55+,Female,Illinois,Spanish,Food,Mobile,Frequent,54,35.7,10,44,Clicked,Feed,Carousel,0.13
45-54,Male,Texas,Chinese,Technology,Desktop,Occasional,22,0.8,9,24,Ignored,Feed,Video,0.62
25-34,Female,Illinois,Spanish,Food,Mobile,Frequent,3,15.8,12,6,Clicked,Feed,Image,0.01
25-34,Female,Texas,Hindi,Travel,Tablet,Occasional,68,12.5,5,35,Viewed,Stories,Carousel,0.31
25-34,Female,Illinois,Hindi,Technology,Desktop,Occasional,94,71.2,11,3,Viewed,Messenger,Image,0.78
35-44,Female,Florida,Hindi,Travel,Mobile,Occasional,35,67.1,6,13,Viewed,Stories,Carousel,0.81
55+,Non-binary,Florida,English,Travel,Mobile,Occasional,94,16,7,29,Ignored,Feed,Image,0.48
25-34,Non-binary,Illinois,Chinese,Gaming,Desktop,Occasional,43,12,8,10,Ignored,Messenger,Video,0.23
25-34,Male,New York,Chinese,Food,Desktop,Occasional,65,97.7,15,2,Clicked,Stories,Carousel,0.88
25-34,Non-binary,Florida,English,Gaming,Tablet,Rare,17,34.5,15,46,Clicked,Stories,Video,0.13
45-54,Male,Florida,English,Food,Tablet,Occasional,26,43.3,17,35,Viewed,Messenger,Video,0.8
18-24,Non-binary,Texas,French,Fitness,Tablet,Occasional,89,34.4,12,46,Clicked,Feed,Image,0.94
45-54,Female,New York,French,Travel,Tablet,Frequent,82,0.3,13,47,Ignored,Stories,Video,0.53
45-54,Non-binary,New York,English,Fitness,Desktop,Frequent,84,13.9,14,46,Ignored,Feed,Carousel,0.37
55+,Female,New York,French,Travel,Tablet,Occasional,54,1.5,14,49,Viewed,Feed,Carousel,0.75
25-34,Female,Florida,Chinese,Travel,Desktop,Occasional,10,18.1,6,19,Viewed,Stories,Video,0.27
25-34,Male,New York,Spanish,Food,Desktop,Frequent,45,42.5,12,20,Viewed,Stories,Image,0.37
55+,Non-binary,New York,Hindi,Technology,Tablet,Occasional,88,47.8,7,4,Clicked,Stories,Image,0.09
45-54,Non-binary,California,Hindi,Technology,Tablet,Occasional,74,5,7,35,Clicked,Stories,Carousel,0.98
18-24,Non-binary,California,Chinese,Technology,Mobile,Occasional,72,14,10,16,Viewed,Stories,Video,0.02
45-54,Male,Illinois,Spanish,Gaming,Desktop,Frequent,99,17.5,7,8,Ignored,Feed,Carousel,0.36
25-34,Female,California,Hindi,Gaming,Tablet,Frequent,4,9.6,15,37,Ignored,Feed,Carousel,0.4
35-44,Non-binary,California,French,Food,Desktop,Frequent,78,12.6,9,4,Ignored,Feed,Carousel,0.1
18-24,Female,New York,Chinese,Travel,Mobile,Occasional,85,21.4,11,25,Ignored,Messenger,Carousel,0.52
55+,Male,Texas,French,Gaming,Desktop,Frequent,60,11.3,11,38,Ignored,Stories,Carousel,0.24
18-24,Non-binary,New York,Chinese,Fitness,Desktop,Occasional,58,0.4,12,14,Clicked,Feed,Video,0.32
55+,Non-binary,California,Hindi,Travel,Mobile,Occasional,99,1.7,12,30,Viewed,Feed,Carousel,0.77
25-34,Female,Texas,Spanish,Fitness,Tablet,Rare,11,6.9,8,37,Viewed,Stories,Video,0.45
35-44,Female,Illinois,Chinese,Food,Tablet,Frequent,78,12.2,12,45,Viewed,Messenger,Video,0.12
45-54,Non-binary,New York,Spanish,Technology,Tablet,Occasional,24,81.7,9,33,Ignored,Stories,Video,0.23
25-34,Non-binary,Texas,English,Fitness,Desktop,Frequent,96,0.8,11,13,Ignored,Messenger,Image,0.25
18-24,Female,New York,Hindi,Food,Tablet,Occasional,25,20.7,13,1,Ignored,Feed,Carousel,0.32
35-44,Female,Texas,French,Fitness,Desktop,Occasional,37,31.2,12,39,Ignored,Messenger,Video,0.2
45-54,Female,Illinois,Chinese,Gaming,Desktop,Frequent,2,6.5,9,9,Ignored,Messenger,Carousel,0.74
35-44,Non-binary,Texas,Hindi,Technology,Tablet,Frequent,32,49.9,8,31,Clicked,Stories,Carousel,0.1
45-54,Non-binary,Texas,French,Travel,Desktop,Frequent,92,43.2,9,22,Clicked,Feed,Video,0.95
